Model,Jumlah Topik,Alpha,Beta,Accuracy
Decission Tree,2,0.1,0.2,0.37089201877934275
Decission Tree,3,0.1,0.2,0.6525821596244131
Decission Tree,4,0.1,0.2,0.37089201877934275
Decission Tree,5,0.1,0.2,0.568075117370892
Decission Tree,6,0.1,0.2,0.3474178403755869
Decission Tree,7,0.1,0.2,0.4647887323943662
Decission Tree,8,0.1,0.2,0.4460093896713615
Decission Tree,9,0.1,0.2,0.49295774647887325
Decission Tree,10,0.1,0.2,0.460093896713615
Decission Tree,11,0.1,0.2,0.36619718309859156
Decission Tree,12,0.1,0.2,0.4694835680751174
Naive Bayes,2,0.1,0.2,0.38497652582159625
Naive Bayes,3,0.1,0.2,0.6431924882629108
Naive Bayes,4,0.1,0.2,0.6009389671361502
Naive Bayes,5,0.1,0.2,0.5211267605633803
Naive Bayes,6,0.1,0.2,0.4788732394366197
Naive Bayes,7,0.1,0.2,0.6056338028169014
Naive Bayes,8,0.1,0.2,0.6056338028169014
Naive Bayes,9,0.1,0.2,0.5446009389671361
Naive Bayes,10,0.1,0.2,0.5868544600938967
Naive Bayes,11,0.1,0.2,0.6525821596244131
Naive Bayes,12,0.1,0.2,0.3755868544600939
Random Forest,2,0.1,0.2,0.6291079812206573
Random Forest,3,0.1,0.2,0.6103286384976526
Random Forest,4,0.1,0.2,0.460093896713615
Random Forest,5,0.1,0.2,0.4788732394366197
Random Forest,6,0.1,0.2,0.5774647887323944
Random Forest,7,0.1,0.2,0.863849765258216
Random Forest,8,0.1,0.2,0.5492957746478874
Random Forest,9,0.1,0.2,0.39906103286384975
Random Forest,10,0.1,0.2,0.647887323943662
Random Forest,11,0.1,0.2,0.4647887323943662
Random Forest,12,0.1,0.2,0.647887323943662
SVM,2,0.1,0.2,0.6525821596244131
SVM,3,0.1,0.2,0.6103286384976526
SVM,4,0.1,0.2,0.48826291079812206
SVM,5,0.1,0.2,0.5352112676056338
SVM,6,0.1,0.2,0.6056338028169014
SVM,7,0.1,0.2,0.6384976525821596
SVM,8,0.1,0.2,0.7089201877934272
SVM,9,0.1,0.2,0.5586854460093896
SVM,10,0.1,0.2,0.5211267605633803
SVM,11,0.1,0.2,0.49295774647887325
SVM,12,0.1,0.2,0.5821596244131455
